100 3.26322 2.48323 0.12981 100 100 100 100 100 100 
100 0.904338 0.518874 100 100 100 100 100 100 100 
100 100 100 0 100 100 100 100 100 100 
3.58189 100 100 100 3.06634 5.92796 0.149286 2.78711 100 100 
4.42813 100 100 1.60671 3.57538 6.20285 0.382414 2.58659 100 100 
0.862782 100 100 100 0.548158 100 100 100 100 100 
100 100 100 100 100 3.18754 100 100 0.042149 100 
1.14633 100 100 100 0.382432 100 100 100 100 100 
8.10841 100 100 100 6.8762 3.96082 100 100 0.0205911 100 
100 100 100 100 100 100 100 100 100 100 
3.47699 100 100 100 2.795 100 100 100 0.0965274 100 
