100 1.46471 0.494169 100 100 4.77958 9.76661 3.08575 6.35436 100 100 100 8.91931 6.87624 2.28552 100 100 
3.15245 100 100 100 8.42134 100 5.1945 0.18307 2.1387 7.03505 100 100 9.33763 100 100 100 100 
100 100 100 0.0059565 100 100 100 100 100 100 100 100 100 5.12625 100 100 100 
3.06125 100 100 100 10.3144 100 4.98893 0.248935 1.79678 7.17888 100 100 9.21576 100 100 100 100 
0.00139179 100 100 100 100 100 100 100 100 100 100 100 6.57786 100 100 100 100 
100 100 100 100 100 100 6.77422 0.0467922 3.11066 100 100 100 100 100 100 100 100 
0.185484 100 100 100 5.01161 100 100 100 100 1.84052 100 100 5.5461 100 100 100 100 
100 100 100 100 100 100 3.5012 100 100 100 100 100 11.4195 100 100 0.0306368 100 
0.242586 100 100 100 6.16176 100 100 100 100 1.55712 100 6.30284 7.2344 100 100 100 100 
100 100 100 100 100 100 100 100 4.13437 100 0.220053 1.70841 100 7.93467 100 100 100 
100 100 100 100 100 100 100 100 100 100 0.823034 0.582993 100 5.9229 100 100 100 
6.72205 100 100 100 9.85755 100 5.47552 0.204832 1.71869 8.24811 100 100 8.47125 100 100 100 100 
5.52943 2.72607 2.04819 100 100 6.22258 100 0.336472 4.02535 100 3.08708 4.27667 100 100 4.83628 100 100 
3.94599 3.25284 2.00008 100 100 100 4.26444 100 100 4.95759 5.24527 100 100 100 4.14666 0.268534 100 
3.21025 100 100 100 9.21413 100 5.60322 0.200416 1.98865 7.6047 100 100 9.21413 100 100 100 100 
8.13756 100 100 100 12.9548 100 4.4109 100 100 10.9234 100 100 10.8676 100 100 0.0125546 100 
100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 
2.29264 100 100 100 7.27274 100 100 100 100 4.14537 100 100 100 100 100 0.125032 100 
